[:Updated by Randall Pierce 2/2/06

Pinyin	ARPAbet
"a",	A_
"ai",	AY
"an",	A_N_
"ang",	AANX
"ao",	AW
"ba",	PVA_
"bai",	PVAY
"ban",	PVA_N_
"bang",	PVAANX
"bao",	PVAW
"bei",	PVEY
"ben",	PVAHN_
"beng",	PVAHNX
"bi",	PVIY
"bian",	PVYIEHN_
"biao",	PVYIAW
"bie",	PVYIEH
"bin",	PVIYN_
"bing",	PVIYNX
"bo",	PVWO
"bu",	PVUW
"ca",	TSA_
"cai",	TSAY
"can",	TSA_N_
"cang",	TSAANX
"cao",	TSAW
"ce",	TSUC
"cen",	TSAHN_
"ceng",	TSAHNX
"cha",	T1A_
"chai",	T1AY
"chan",	T1A_N_
"chang",	T1AANX
"chao",	T1AW
"che",	T1UC
"chen",	T1AHN_
"cheng",	T1AHNX
"chi",	T1IR
"chong",	T1UHNX
"chou",	T1OW
"chu",	T1UW
"chuai",	T1WUAY
"chuan",	T1WUA_N_
"chuang",	T1WUAANX
"chui",	T1WUEY
"chun",	T1WUAXN_
"chuo",	T1WUWO
"ci",	TSIF
"cong",	TSUHNX
"cou",	TSOW
"cu",	TSUW
"cuan",	TSWUA_N_
"cui",	TSWUEY
"cun",	TSWUAXN_
"cuo",	TSWUWO
"da",	TVA_	
"dai",	TVAY
"dan",	TVA_N_
"dang",	TVAANX
"dao",	TVAW
"de",	TVUC
"dei",	TVEY
"deng",	TVAHNX
"di",	TVIY
"dia",	TVYIA_
"dian",	TVYIEHN_
"diao",	TVYIAW
"die",	TVYIEH
"ding",	TVIYNX
"diu",	TVYIOW
"dong",	TVUHNX
"dou",	TVOW
"du",	TVUW
"duan",	TVWUA_N_
"dui",	TVWUEY
"dun",	TVWUAXN_
"duo",	TVWUWO
"e",	UC
"en",	AHN_
"er",	ER
"fa",	F_A_
"fan",	F_A_N_
"fang",	F_AANX
"fei",	F_EY
"fen",	F_AHN_
"feng",	F_AHNX
"fo",	F_WO
"fou",	F_OW
"fu",	F_UW
"ga",	KVA_
"gai",	KVAY
"gan",	KVA_N_
"gang",	KVAANX
"gao",	KVAW
"ge",	KVUC
"gei",	KVEY
"gen",	KVAHN_
"geng",	KVAHNX
"gong",	KVUHNX
"gou",	KVOW
"gu",	KVUW
"gua",	KVWUA_
"guai",	KVWUAY
"guan",	KVWUA_N_
"guang",	KVWUAANX
"gui",	KVWUEY
"gun",	KVWUAXN_
"guo",	KVWUWO
"ha",	CHA_
"hai",	CHAY
"han",	CHA_N_
"hang",	CHAANX
"hao",	CHAW
"he",	CHUC
"hei",	CHEY
"hen",	CHAHN_
"heng",	CHAHNX
"hong",	CHUHNX
"hou",	CHOW
"hu",	CHUW
"hua",	CHWUA_
"huai",	CHWUAY
"huan",	CHWUA_N_
"huang",	CHWUAANX
"hui",	CHWUEY
"hun",	CHWUAXN_
"huo",	CHWUWO
"ji",	JVIY
"jia",	JVYIA_
"jian",	JVYIEHN_
"jiang",	JVYIAANX
"jiao",	JVYIAW
"jie",	JVYIEH
"jin",	JVIYN_
"jing",	JVIYNX
"jiong",	JVYIUHNX
"jiu",	JVYIOW
"ju",	JVUE
"juan",	JVUEA_N_
"jue",	JVUEEH
"jun",	JVUEN_
"ka",	K_A_
